unique_trs_id,Latitude,Longitude,BatteryisCharging,Battery Percentage,CO2,Preasure Hg,Humidity %,Temperature C,Speed KM,Date,Time
-LuWmeq_OfyqV1qEvNpu,25.04232788,55.11608806,,,,,,,,,,
-LuWmgN1h7JcImw0n6fH,25.04325867,55.11669444,,,,,,,,,,
-LuWmsaT8UWR0gzXD0WL,25.0434034,55.11699124,,,,,,,,,,
-LuWn94w90qD2j2OFwg1,25.04312134,55.11707816,,,,,,,,,,
-LuWnDBGwolly55LrCUr,25.04298401,55.11729752,,,,,,,,,,
-LuWqdIrJV_UuNdLRAnl,25.04217529,55.11825701,,,,,,,,,,
-LuWqhtMVVxdHGEKuLeV,25.04217529,55.1182383,,,,,,,,,,
-LuWqkL2upa7axbVdPMv,25.04218719,55.11782901,,,,,,,,,,
-LuWqoaY3ZE_kr5KWLpY,25.04222107,55.1181798,,,,,,,,,,
-LuXoO3ZXtyKZsybXw2q,25.0405426,55.12913386,,,,,,,,,,
-LuXoPMM82z7dTeK7cJD,25.04060364,55.12895393,,,,,,,,,,
-LuXoY-WhJ6uOU7Rn-Cy,25.04052734,55.12882028,,,,,,,,,,
-LuXoZwVhsmU4Mz6KqUW,25.04058838,55.12907744,,,,,,,,,,
-LuXofycRaOIMzn1BUH0,25.04058838,55.12907744,,,,,,,,,,
-LuXomZmRopjh4asHRVm,25.04037476,55.12875766,,,,,,,,,,
-LuYXxknZuFLlXWMXEbV,25.20983887,55.25973338,,,,,,,,,,
-LuYY6FIIrKO5AvIVefo,25.210019,55.25986824,,,,,,,,,,
-LuYixNX5XZTkLZgdusZ,,,False,55.000001192092896,,,,,,,,
-LuYiyF0IENqllz3Opr8,25.20991516,55.25975735,,,,,,,,,,
-LuYj05deOBvfj9Uy6XL,25.20992084,55.25975735,,,,,,,,,,
-LuYj1oS4LoNBHT51ehH,25.20991516,55.25975735,,,,,,,,,,
-LuYj2VZ-DZTRRfiGE4V,25.20986938,55.25972508,,,,,,,,,,
-LuYj5Fp8RrTwsxbaOJw,25.20987805,55.25972508,,,,,,,,,,
-LuYzPZqi72UDzfeGGnM,,,False,47.999998927116394,,,,,,,,
-LuYzQP2lC3n2tMwLUOG,25.28050232,55.35648711,,,,,,,,,,
-LuZ2hJMJrNsYfVxpLoG,,,False,46.99999988079071,,,,,,,,
-LuZ2iH8I6iMBk9LjO91,25.11383057,55.18905734,,,,,,,,,,
-Lucq-u0K1mDUQGCIRkB,25.0405426,55.12892105,,,,,,,,,,
-Lucq4AxVXCnIQzfCyvj,25.04057312,55.12894316,,,,,,,,,,
-Lucq4_w_IcCpXmKpaCQ,25.04057312,55.12895208,,,,,,,,,,
-Lug8OpJEYntI6XgY00s,,,False,47.999998927116394,,,,,,,,
-LursFdoL2JU59u5EGrr,25.04794312,55.12334045,,,,,,,,,,
-LursOmP8qROTJlJzWQu,25.04801941,55.12335503,,,,,,,,,,
-LurtqgDYte9ilu_s3M5,25.0481041,55.12334833,,,,,,,,,,
-LuwEGzmQo1IoxgnNcNH,25.04060364,55.12887316,,,,,,,,,,
-LvHDVLupxqZzY1GTGqq,25.10635376,55.16300596,,,,,,,,,,
-LurtuPfkD6QZ0mQWzrI,25.04807543,55.12336115,,,,,,,,,,
-LurtwjFLRGgcfcWSG4J,25.04808044,55.12336233,,,,,,,,,,
-LuvIIXTjJIbisziKRMa,25.04223633,55.11831824,,,,,,,,,,
-LvBiG3rt3nYtICK7MFr,25.15695367,55.20551294,,,,,,,,,,
-LvHD98pE-psHc4zU3ip,25.11547852,55.17177855,,,,,,,,,,
-LvHDAN2_JKnwCEEJRZK,25.11456299,55.17085109,,,,,,,,,,
-LwoTyclZ-dHRi9_sxC-,25.04049683,55.12880025,,,,,,,,,,
-Lv-RHDyTGJpo6ELa1Td,25.26535034,55.30411153,,,,,,,,,,
-Lv-RP7GZBF5DJGxMRYO,25.26474767,55.30392051,,,,,,,,,,
-LvHDuacqzM5TRo4Dfnt,25.09393311,55.150975,,,,,,,,,,
-LwbUeiA-cYKEJIkqy75,,,False,70.99999785423279,,,,,,,,
-LurtypzAXRSvhmJ-Q7B,25.04808044,55.12336233,,,,,,,,,,
-Lv-RI3eDHq24RilM7gW,25.26488677,55.30371532,,,,,,,,,,
-Lv-nMApsnVGeI5y53fY,,,False,62.00000047683716,,,,,,,,
-LvHDOpR5zsaHeNivn1V,25.11050415,55.16685175,,,,,,,,,,
-Lwbr5JtTo4HmUjK9Kl4,25.07747776,55.12466194,,,,,,,,,,
-LuvadVLY-glyib8500N,25.04225159,55.11825865,,,,,,,,,,
-Lv-nPizLuIpTJssaQrG,25.26421668,55.30594365,,,,,,,,,,
-Lv0w7nf9WyBLshTNh4i,25.04273987,55.11991953,,,,,,,,,,
-LvGMB7dbIB82Z4sl7pj,25.13749695,55.18856374,,,,,,,,,,
